2021-01-29 08:51:34 status unpacked lsb-base:all 4.1+Debian13+nmu1
2021-01-29 08:51:34 status unpacked lsb-base:all 4.1+Debian13+nmu1
2021-01-29 08:51:34 install dmsetup:armhf <none> 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 status half-installed dmsetup:armhf 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 status unpacked dmsetup:armhf 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2+deb8u1
2021-01-29 08:51:34 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2021-01-29 08:51:34 status half-configured mawk:armhf 1.3.3-17
2021-01-29 08:51:35 status unpacked mawk:armhf 1.3.3-17
2021-01-29 08:51:35 status half-installed mawk:armhf 1.3.3-17
2021-01-29 08:51:35 status half-installed mawk:armhf 1.3.3-17
2021-01-29 08:51:35 status unpacked mawk:armhf 1.3.3-17
2021-01-29 08:51:35 status unpacked mawk:armhf 1.3.3-17
2021-01-29 08:51:35 install libncurses5:armhf <none> 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 status half-installed libncurses5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 status unpacked libncurses5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 status unpacked libncurses5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 install libncursesw5:armhf <none> 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 status half-installed libncursesw5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 status unpacked libncursesw5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:35 status unpacked libncursesw5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 install libtinfo5:armhf <none> 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status half-installed libtinfo5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status unpacked libtinfo5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status unpacked libtinfo5:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 install ncurses-base:all <none> 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status half-installed ncurses-base:all 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status unpacked ncurses-base:all 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status unpacked ncurses-base:all 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 install ncurses-bin:armhf <none> 5.9+20140913-1+deb8u3
2021-01-29 08:51:36 status half-installed ncurses-bin:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:37 status unpacked ncurses-bin:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:37 status unpacked ncurses-bin:armhf 5.9+20140913-1+deb8u3
2021-01-29 08:51:37 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:37 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u2+b1
2021-01-29 08:51:39 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2021-01-29 08:51:39 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
